begin begint begint begon begonnen begonnen beginnend beginnen
ben bent is zijn was waren geweest zijnd zijn
bevind bevindt bevindt bevinden bevond bevonden bevonden bevindend bevinden
bons bonst bonst bonzen bonsde bonsden gebonsd bonzend bonzen
blijf blijft blijft blijven bleef bleven gebleven blijvend blijven
breng brengt brengt brengen bracht brachten gebracht brengend brengen
denk denkt denkt denken dacht dachten gedacht denkend denken
doe doet doet doen deed deden gedaan doend doen
eet eet eet eten at aten gegeten etend eten
fluit fluit fluit fluiten floot floten gefloten fluitend fluiten
geef geeft geeft geven gaf gaven gegeven gevend geven
heb hebt heeft hebben had hadden gehad hebbend hebben
houd houdt houdt houden hield hielden gehouden houdend houden
ga gaat gaat gaan ging gingen gegaan gaand gaan
kan kunt kan kunnen kon konden gekund kunnende kunnen
kies kiest kiest kiezen koos kozen gekozen kiezend kiezen
kijk kijkt kijkt kijken keek keken gekeken kijkend kijken
klim klimt klimt klimmen klom klommen geklommen klimmend klimmen
kom komt komt komen kwam kwamen gekomen komend komen
lig ligt ligt liggen lag lagen gelegen liggend liggen
loop loopt loopt lopen liep liepen gelopen lopend lopen
mag mag mag mogen mocht mochten gemogen mogend mogen
neem neemt neemt nemen nam namen genomen nemend nemen
neurie neuriet neuriet neuriën neuriede neurieden geneuried neuriënd neuriën
open opent opent openen opende openden geopend openend openen
rijd rijdt rijdt reed reden gereden rijdend rijden
schijn schijnt schijnt schijnen scheen schenen geschenen schijnend schijnen
sla slaat slaat slaan sloeg sloegen geslagen slaand slaan
sluit sluit sluit sluiten sloot sloten gesloten sluitend sluiten
spreek spreekt spreekt spreken sprak spraken gesproken sprekend spreken
spring springt springt springen sprong sprongen gesprongen springend springen
sta staat staat staan stond stonden gestaan staand staan
steek steekt steekt steken stak staken gestoken stekend steken
val valt valt vallen viel vielen gevallen vallend vallen
vang vangt vangt vangen ving vingen gevangen vangend vangen
verschijn verschijnt verschijnt verschijnen verscheen verschenen verschenen verschijnend verschijnen
vind vindt vindt vinden vond vonden gevonden vindend vinden
vraag vraagt vraagt vragen vroeg vroegen gevraagd vragend vragen
wil wilt wil willen wilde wilden gewild willend willen
word wordt wordt worden werd werden geworden wordend worden
zal zal zal zullen zou zouden gezuld zullend zullen
zie ziet ziet zien zag zagen gezien ziend zien
zing zingt zingt zingen zong zongen gezongen zingend zingen
zit zit zit zitten zat zaten gezeten zittend zitten
zoek zoekt zoekt zoeken zocht zochten gezocht zoekend zoeken
